,date,CPI
615,1971-04-01,40.1
616,1971-03-01,40.0
617,1971-02-01,39.9
618,1971-01-01,39.8
619,1970-12-01,39.8
620,1970-11-01,39.6
621,1970-10-01,39.4
622,1970-09-01,39.2
623,1970-08-01,39.0
624,1970-07-01,39.0
625,1970-06-01,38.8
626,1970-05-01,38.6
627,1970-04-01,38.5
628,1970-03-01,38.2
629,1970-02-01,38.0
630,1970-01-01,37.8
631,1969-12-01,37.7
632,1969-11-01,37.5
633,1969-10-01,37.3
634,1969-09-01,37.1
635,1969-08-01,37.0
636,1969-07-01,36.8
637,1969-06-01,36.6
638,1969-05-01,36.4
639,1969-04-01,36.3
640,1969-03-01,36.1
641,1969-02-01,35.8
642,1969-01-01,35.6
643,1968-12-01,35.5
644,1968-11-01,35.4
645,1968-10-01,35.3
646,1968-09-01,35.1
647,1968-08-01,35.0
648,1968-07-01,34.9
649,1968-06-01,34.7
650,1968-05-01,34.5
651,1968-04-01,34.4
652,1968-03-01,34.3
653,1968-02-01,34.2
654,1968-01-01,34.1
655,1967-12-01,33.9
656,1967-11-01,33.8
657,1967-10-01,33.7
658,1967-09-01,33.6
659,1967-08-01,33.5
660,1967-07-01,33.4
661,1967-06-01,33.3
662,1967-05-01,33.2
663,1967-04-01,33.1
664,1967-03-01,33.0
665,1967-02-01,32.9
666,1967-01-01,32.9
667,1966-12-01,32.9
668,1966-11-01,32.9
669,1966-10-01,32.9
670,1966-09-01,32.7
671,1966-08-01,32.7
672,1966-07-01,32.5
673,1966-06-01,32.4
674,1966-05-01,32.3
675,1966-04-01,32.3
676,1966-03-01,32.1
677,1966-02-01,32.0
678,1966-01-01,31.8
679,1965-12-01,31.8
680,1965-11-01,31.7
681,1965-10-01,31.7
682,1965-09-01,31.6
683,1965-08-01,31.6
684,1965-07-01,31.6
685,1965-06-01,31.6
686,1965-05-01,31.4
687,1965-04-01,31.4
688,1965-03-01,31.3
689,1965-02-01,31.2
690,1965-01-01,31.2
691,1964-12-01,31.2
692,1964-11-01,31.2
693,1964-10-01,31.1
694,1964-09-01,31.1
695,1964-08-01,31.0
696,1964-07-01,31.1
697,1964-06-01,31.0
698,1964-05-01,30.9
699,1964-04-01,30.9
700,1964-03-01,30.9
701,1964-02-01,30.9
702,1964-01-01,30.9
703,1963-12-01,30.9
704,1963-11-01,30.8
705,1963-10-01,30.8
706,1963-09-01,30.7
707,1963-08-01,30.7
708,1963-07-01,30.7
709,1963-06-01,30.6
710,1963-05-01,30.5
711,1963-04-01,30.5
712,1963-03-01,30.5
713,1963-02-01,30.4
714,1963-01-01,30.4
715,1962-12-01,30.4
716,1962-11-01,30.4
717,1962-10-01,30.4
718,1962-09-01,30.4
719,1962-08-01,30.3
720,1962-07-01,30.3
721,1962-06-01,30.2
722,1962-05-01,30.2
723,1962-04-01,30.2
724,1962-03-01,30.1
725,1962-02-01,30.1
726,1962-01-01,30.0
727,1961-12-01,30.0
728,1961-11-01,30.0
729,1961-10-01,30.0
730,1961-09-01,30.0
731,1961-08-01,29.9
732,1961-07-01,30.0
733,1961-06-01,29.8
734,1961-05-01,29.8
735,1961-04-01,29.8
736,1961-03-01,29.8
737,1961-02-01,29.8
738,1961-01-01,29.8
739,1960-12-01,29.8
740,1960-11-01,29.8
741,1960-10-01,29.8
742,1960-09-01,29.6
743,1960-08-01,29.6
744,1960-07-01,29.6
745,1960-06-01,29.6
746,1960-05-01,29.5
747,1960-04-01,29.5
748,1960-03-01,29.4
749,1960-02-01,29.4
750,1960-01-01,29.3
751,1959-12-01,29.4
752,1959-11-01,29.4
753,1959-10-01,29.4
754,1959-09-01,29.3
755,1959-08-01,29.2
756,1959-07-01,29.2
757,1959-06-01,29.1
758,1959-05-01,29.0
759,1959-04-01,29.0
760,1959-03-01,28.9
761,1959-02-01,28.9
762,1959-01-01,29.0
763,1958-12-01,28.9
764,1958-11-01,29.0
765,1958-10-01,28.9
766,1958-09-01,28.9
